signature_id,proto_name,rust_name,engine_dispatch,engine_family,engine_target,baseline_engine_dispatch,local_proto_available,baseline_local_proto_available,baseline_adapter_mapping,current_adapter_source_evidence,current_adapter_generated_name_candidates,baseline_facade_whitelist,current_facade_whitelist_evidence,pushdown_catalog_direct_selection,go_constructor_candidate_names,go_internal_cast_constructor_evidence,borrowed_classification,risk_flags,classification,admission_status,admission_names
0,Unspecified,,False,,,False,True,True,False,False,,False,,False,coercibility,,no_dispatch,,not_dispatched_by_engine,excluded,coercibility
1,CastIntAsInt,CastIntAsInt,True,impl_cast,map_cast_func(expr)?,True,True,True,False,True,arithmetic:Cast{}As{};coerce:Cast{}As{},False,,False,,castAsIntFunctionClass.getFunction,mapper_requires_runtime_probe,cast_field_metadata_selects_kernel,engine_dispatch_adapter_gap_or_new_mapping_evidence,untested,
2,CastIntAsReal,CastIntAsReal,True,impl_cast,map_cast_func(expr)?,True,True,True,False,False,arithmetic:Cast{}As{};coerce:Cast{}As{},False,,True,,castAsRealFunctionClass.getFunction,mapper_requires_runtime_probe,cast_field_metadata_selects_kernel,engine_dispatch_adapter_gap_or_new_mapping_evidence,admitted,cast_double
3,CastIntAsString,CastIntAsString,True,impl_cast,map_cast_func(expr)?,True,True,True,False,False,arithmetic:Cast{}As{};coerce:Cast{}As{},False,,False,,castAsStringFunctionClass.getFunction,mapper_requires_runtime_probe,cast_field_metadata_selects_kernel,engine_dispatch_adapter_gap_or_new_mapping_evidence,untested,
4,CastIntAsDecimal,CastIntAsDecimal,True,impl_cast,map_cast_func(expr)?,True,True,True,False,True,arithmetic:Cast{}As{};coerce:Cast{}As{},False,,True,,castAsDecimalFunctionClass.getFunction,mapper_requires_runtime_probe,cast_field_metadata_selects_kernel,engine_dispatch_adapter_gap_or_new_mapping_evidence,admitted,cast_decimal
5,CastIntAsTime,CastIntAsTime,True,impl_cast,map_cast_func(expr)?,True,True,True,False,False,arithmetic:Cast{}As{};coerce:Cast{}As{},False,,False,,castAsTimeFunctionClass.getFunction,mapper_requires_runtime_probe,cast_field_metadata_selects_kernel,engine_dispatch_adapter_gap_or_new_mapping_evidence,untested,
6,CastIntAsDuration,CastIntAsDuration,True,impl_cast,map_cast_func(expr)?,True,True,True,False,False,arithmetic:Cast{}As{};coerce:Cast{}As{},False,,False,,castAsDurationFunctionClass.getFunction,mapper_requires_runtime_probe,cast_field_metadata_selects_kernel,engine_dispatch_adapter_gap_or_new_mapping_evidence,untested,
7,CastIntAsJson,CastIntAsJson,True,impl_cast,map_cast_func(expr)?,True,True,True,False,False,arithmetic:Cast{}As{};coerce:Cast{}As{},False,,False,,castAsJSONFunctionClass.getFunction,mapper_requires_runtime_probe,cast_field_metadata_selects_kernel,engine_dispatch_adapter_gap_or_new_mapping_evidence,untested,
10,CastRealAsInt,CastRealAsInt,True,impl_cast,map_cast_func(expr)?,True,True,True,False,False,arithmetic:Cast{}As{};coerce:Cast{}As{},False,,False,,castAsIntFunctionClass.getFunction,mapper_requires_runtime_probe,cast_field_metadata_selects_kernel,engine_dispatch_adapter_gap_or_new_mapping_evidence,untested,
11,CastRealAsReal,CastRealAsReal,True,impl_cast,map_cast_func(expr)?,True,True,True,False,False,arithmetic:Cast{}As{};coerce:Cast{}As{},False,,False,,castAsRealFunctionClass.getFunction,mapper_requires_runtime_probe,cast_field_metadata_selects_kernel,engine_dispatch_adapter_gap_or_new_mapping_evidence,untested,
12,CastRealAsString,CastRealAsString,True,impl_cast,map_cast_func(expr)?,True,True,True,False,False,arithmetic:Cast{}As{};coerce:Cast{}As{},False,,False,,castAsStringFunctionClass.getFunction,mapper_requires_runtime_probe,cast_field_metadata_selects_kernel,engine_dispatch_adapter_gap_or_new_mapping_evidence,untested,
13,CastRealAsDecimal,CastRealAsDecimal,True,impl_cast,map_cast_func(expr)?,True,True,True,False,False,arithmetic:Cast{}As{};coerce:Cast{}As{},False,,False,,castAsDecimalFunctionClass.getFunction,mapper_requires_runtime_probe,cast_field_metadata_selects_kernel,engine_dispatch_adapter_gap_or_new_mapping_evidence,untested,
14,CastRealAsTime,CastRealAsTime,True,impl_cast,map_cast_func(expr)?,True,True,True,False,False,arithmetic:Cast{}As{};coerce:Cast{}As{},False,,False,,castAsTimeFunctionClass.getFunction,mapper_requires_runtime_probe,cast_field_metadata_selects_kernel,engine_dispatch_adapter_gap_or_new_mapping_evidence,untested,
15,CastRealAsDuration,CastRealAsDuration,True,impl_cast,map_cast_func(expr)?,True,True,True,False,False,arithmetic:Cast{}As{};coerce:Cast{}As{},False,,False,,castAsDurationFunctionClass.getFunction,mapper_requires_runtime_probe,cast_field_metadata_selects_kernel,engine_dispatch_adapter_gap_or_new_mapping_evidence,untested,
16,CastRealAsJson,CastRealAsJson,True,impl_cast,map_cast_func(expr)?,True,True,True,False,False,arithmetic:Cast{}As{};coerce:Cast{}As{},False,,False,,castAsJSONFunctionClass.getFunction,mapper_requires_runtime_probe,cast_field_metadata_selects_kernel,engine_dispatch_adapter_gap_or_new_mapping_evidence,untested,
20,CastDecimalAsInt,CastDecimalAsInt,True,impl_cast,map_cast_func(expr)?,True,True,True,False,True,arithmetic:Cast{}As{};coerce:Cast{}As{},False,,False,,castAsIntFunctionClass.getFunction,mapper_requires_runtime_probe,cast_field_metadata_selects_kernel,engine_dispatch_adapter_gap_or_new_mapping_evidence,untested,
21,CastDecimalAsReal,CastDecimalAsReal,True,impl_cast,map_cast_func(expr)?,True,True,True,False,False,arithmetic:Cast{}As{};coerce:Cast{}As{},False,,True,,castAsRealFunctionClass.getFunction,mapper_requires_runtime_probe,cast_field_metadata_selects_kernel,engine_dispatch_adapter_gap_or_new_mapping_evidence,admitted,cast_double
22,CastDecimalAsString,CastDecimalAsString,True,impl_cast,map_cast_func(expr)?,True,True,True,False,False,arithmetic:Cast{}As{};coerce:Cast{}As{},False,,False,,castAsStringFunctionClass.getFunction,mapper_requires_runtime_probe,cast_field_metadata_selects_kernel,engine_dispatch_adapter_gap_or_new_mapping_evidence,untested,
23,CastDecimalAsDecimal,CastDecimalAsDecimal,True,impl_cast,map_cast_func(expr)?,True,True,True,False,False,arithmetic:Cast{}As{};coerce:Cast{}As{},False,,False,,castAsDecimalFunctionClass.getFunction,mapper_requires_runtime_probe,cast_field_metadata_selects_kernel,engine_dispatch_adapter_gap_or_new_mapping_evidence,untested,
24,CastDecimalAsTime,CastDecimalAsTime,True,impl_cast,map_cast_func(expr)?,True,True,True,False,False,arithmetic:Cast{}As{};coerce:Cast{}As{},False,,False,,castAsTimeFunctionClass.getFunction,mapper_requires_runtime_probe,cast_field_metadata_selects_kernel,engine_dispatch_adapter_gap_or_new_mapping_evidence,untested,
25,CastDecimalAsDuration,CastDecimalAsDuration,True,impl_cast,map_cast_func(expr)?,True,True,True,False,False,arithmetic:Cast{}As{};coerce:Cast{}As{},False,,False,,castAsDurationFunctionClass.getFunction,mapper_requires_runtime_probe,cast_field_metadata_selects_kernel,engine_dispatch_adapter_gap_or_new_mapping_evidence,untested,
26,CastDecimalAsJson,CastDecimalAsJson,True,impl_cast,map_cast_func(expr)?,True,True,True,False,False,arithmetic:Cast{}As{};coerce:Cast{}As{},False,,False,,castAsJSONFunctionClass.getFunction,mapper_requires_runtime_probe,cast_field_metadata_selects_kernel,engine_dispatch_adapter_gap_or_new_mapping_evidence,untested,
30,CastStringAsInt,CastStringAsInt,True,impl_cast,map_cast_func(expr)?,True,True,True,False,True,arithmetic:Cast{}As{};coerce:Cast{}As{},False,,False,,castAsIntFunctionClass.getFunction,mapper_requires_runtime_probe,cast_field_metadata_selects_kernel,engine_dispatch_adapter_gap_or_new_mapping_evidence,untested,
31,CastStringAsReal,CastStringAsReal,True,impl_cast,map_cast_func(expr)?,True,True,True,False,True,arithmetic:Cast{}As{};coerce:Cast{}As{},False,,True,,castAsRealFunctionClass.getFunction,mapper_requires_runtime_probe,cast_field_metadata_selects_kernel,engine_dispatch_adapter_gap_or_new_mapping_evidence,admitted,cast_double
32,CastStringAsString,CastStringAsString,True,impl_cast,map_cast_func(expr)?,True,True,True,False,False,arithmetic:Cast{}As{};coerce:Cast{}As{},False,,False,,castAsStringFunctionClass.getFunction,mapper_requires_runtime_probe,cast_field_metadata_selects_kernel,engine_dispatch_adapter_gap_or_new_mapping_evidence,untested,
33,CastStringAsDecimal,CastStringAsDecimal,True,impl_cast,map_cast_func(expr)?,True,True,True,False,False,arithmetic:Cast{}As{};coerce:Cast{}As{},False,,True,,castAsDecimalFunctionClass.getFunction,mapper_requires_runtime_probe,cast_field_metadata_selects_kernel,engine_dispatch_adapter_gap_or_new_mapping_evidence,admitted,cast_decimal
34,CastStringAsTime,CastStringAsTime,True,impl_cast,map_cast_func(expr)?,True,True,True,False,False,arithmetic:Cast{}As{};coerce:Cast{}As{},False,,False,,castAsTimeFunctionClass.getFunction,mapper_requires_runtime_probe,cast_field_metadata_selects_kernel,engine_dispatch_adapter_gap_or_new_mapping_evidence,untested,
35,CastStringAsDuration,CastStringAsDuration,True,impl_cast,map_cast_func(expr)?,True,True,True,False,False,arithmetic:Cast{}As{};coerce:Cast{}As{},False,,False,,castAsDurationFunctionClass.getFunction,mapper_requires_runtime_probe,cast_field_metadata_selects_kernel,engine_dispatch_adapter_gap_or_new_mapping_evidence,untested,
36,CastStringAsJson,CastStringAsJson,True,impl_cast,map_cast_func(expr)?,True,True,True,False,False,arithmetic:Cast{}As{};coerce:Cast{}As{},False,,False,,castAsJSONFunctionClass.getFunction,mapper_requires_runtime_probe,cast_field_metadata_selects_kernel,engine_dispatch_adapter_gap_or_new_mapping_evidence,untested,
40,CastTimeAsInt,CastTimeAsInt,True,impl_cast,map_cast_func(expr)?,True,True,True,False,False,arithmetic:Cast{}As{};coerce:Cast{}As{},False,,False,,castAsIntFunctionClass.getFunction,mapper_requires_runtime_probe,cast_field_metadata_selects_kernel,engine_dispatch_adapter_gap_or_new_mapping_evidence,untested,
41,CastTimeAsReal,CastTimeAsReal,True,impl_cast,map_cast_func(expr)?,True,True,True,False,False,arithmetic:Cast{}As{};coerce:Cast{}As{},False,,False,,castAsRealFunctionClass.getFunction,mapper_requires_runtime_probe,cast_field_metadata_selects_kernel,engine_dispatch_adapter_gap_or_new_mapping_evidence,untested,
42,CastTimeAsString,CastTimeAsString,True,impl_cast,map_cast_func(expr)?,True,True,True,False,False,arithmetic:Cast{}As{};coerce:Cast{}As{},False,,False,,castAsStringFunctionClass.getFunction,mapper_requires_runtime_probe,cast_field_metadata_selects_kernel,engine_dispatch_adapter_gap_or_new_mapping_evidence,untested,
43,CastTimeAsDecimal,CastTimeAsDecimal,True,impl_cast,map_cast_func(expr)?,True,True,True,False,False,arithmetic:Cast{}As{};coerce:Cast{}As{},False,,False,,castAsDecimalFunctionClass.getFunction,mapper_requires_runtime_probe,cast_field_metadata_selects_kernel,engine_dispatch_adapter_gap_or_new_mapping_evidence,untested,
44,CastTimeAsTime,CastTimeAsTime,True,impl_cast,map_cast_func(expr)?,True,True,True,False,False,arithmetic:Cast{}As{};coerce:Cast{}As{},False,,False,,castAsTimeFunctionClass.getFunction,mapper_requires_runtime_probe,cast_field_metadata_selects_kernel,engine_dispatch_adapter_gap_or_new_mapping_evidence,untested,
45,CastTimeAsDuration,CastTimeAsDuration,True,impl_cast,map_cast_func(expr)?,True,True,True,False,False,arithmetic:Cast{}As{};coerce:Cast{}As{},False,,False,,castAsDurationFunctionClass.getFunction,mapper_requires_runtime_probe,cast_field_metadata_selects_kernel,engine_dispatch_adapter_gap_or_new_mapping_evidence,untested,
